Token:TK_IDENTIFIER       	Lexema: a
Token:OPERADOR_MAIOR      	Lexema: >
Token:LIT_INT             	Lexema: 2
Token:OPERADOR_PONTOVIRGULA	Lexema: ;
Token:TK_IDENTIFIER       	Lexema: b
Token:OPERATOR_MENOR      	Lexema: <
Token:OPERADOR_PONTOVIRGULA	Lexema: ;
Token:TK_IDENTIFIER       	Lexema: c
Token:OPERADOR_ATRIBUICAO 	Lexema: =
Token:LIT_INT             	Lexema: 3
Token:OPERADOR_PONTOVIRGULA	Lexema: ;
Token:TK_IDENTIFIER       	Lexema: d
Token:OPERATOR_GE         	Lexema: ==
Token:LIT_INT             	Lexema: 5
Token:OPERADOR_PONTOVIRGULA	Lexema: ;
Token:TK_IDENTIFIER       	Lexema: e
Token:OPERATOR_GE         	Lexema: >=
Token:LIT_INT             	Lexema: 6
Token:OPERADOR_PONTOVIRGULA	Lexema: ;
Token:TK_IDENTIFIER       	Lexema: f
Token:OPERATOR_LE         	Lexema: <=
Token:LIT_INT             	Lexema: 7
Token:OPERADOR_PONTOVIRGULA	Lexema: ;
Token:TK_IDENTIFIER       	Lexema: g
Token:OPERATOR_DIF        	Lexema: !=
Token:LIT_INT             	Lexema: 8
Token:OPERADOR_PONTOVIRGULA	Lexema: ;
